Posición,Texto,Categoría,Aceptada
1,,No aceptada,No
2,,No aceptada,No
3,,No aceptada,No
4,,No aceptada,No
5,,No aceptada,No
6,Solicitudes HTTP,No aceptada,No
7,,No aceptada,No
8,,No aceptada,No
9,Solicitudes HTTP,No aceptada,No
10,,No aceptada,No
11,GET /index.html HTTP/1.1,Recurso Estático,Sí
12,POST /api/users?id=123 HTTP/1.1,API,Sí
13,PUT /update/profile.php HTTP/1.1,Recurso Dinámico,Sí
14,DELETE /api/posts/456 HTTP/1.1,API,Sí
15,GET /images/logo.png?v=2 HTTP/1.1,Otro,Sí
16,FETCH /data.json HTTP/1.1,No aceptada,No
17,GET index.html HTTP/1.1,No aceptada,No
18,POST /form data HTTP/1.1,No aceptada,No
19,GET /api/users?id=123&name=John Doe HTTP/1.1,No aceptada,No
20,GET /index.html HTTP/3.0,No aceptada,No
21,,No aceptada,No
22,,No aceptada,No
23,,No aceptada,No
